START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
17PR104,53188708,2.493389,53348287,2.279406,8.972795e-02,82.068642,6.865557e+00
19PR11/2,53592256,2.505461,53603549,2.279847,9.436441e-02,82.068642,7.269468e+00
17PR105,53648632,2.478186,53858797,2.280301,8.321939e-02,82.068642,6.402959e+00
17PR211/2,54042256,2.488437,54114059,2.280726,8.716099e-02,82.865573,6.684259e+00
17PR106,54153061,2.497409,54369311,2.281172,9.056445e-02,82.865573,6.987760e+00
17PR213/2,54507226,2.499392,54624529,2.281588,9.117581e-02,82.865573,7.067720e+00
17PR107,54636031,2.497137,54879793,2.282026,9.008123e-02,82.865573,7.009283e+00
17PR215/2,55019617,2.498672,55135049,2.282435,9.051654e-02,83.662504,7.007667e+00
17PR108,55292443,2.508325,55390327,2.282848,9.419141e-02,83.662504,7.337139e+00
17PR217/2,55528846,2.507637,55645571,2.283266,9.373400e-02,83.662504,7.331013e+00
17PR109,55830883,2.510909,55900837,2.283664,9.486367e-02,83.662504,7.455151e+00
17PR219/2,56125298,2.510829,56156081,2.284058,9.465929e-02,83.662504,7.469754e+00
17PR110,56213309,2.520390,56411353,2.284454,9.828661e-02,83.662504,7.803007e+00
17PR221/2,56566408,2.522998,56666579,2.284853,9.914619e-02,84.474913,7.831648e+00
17PR111,56758171,2.510396,56921863,2.285242,9.396858e-02,84.474913,7.434038e+00
17PR223/2,57027521,2.512749,57177101,2.285622,9.473918e-02,84.474913,7.529035e+00
17PR112,57254726,2.518159,57432373,2.285998,9.672539e-02,84.474913,7.726412e+00
17PR225/2,57664961,2.497282,57687607,2.286371,8.823710e-02,85.287321,6.979773e+00
17PR113,57719561,2.489518,57942883,2.286740,8.496189e-02,85.287321,6.736990e+00
17PR227/2,58086614,2.508643,58198097,2.287106,9.245471e-02,85.287321,7.389014e+00
19PR6,58317011,2.508962,58453393,2.287459,9.242753e-02,85.287321,7.416657e+00
17PR229/2,58545719,2.487668,58708621,2.287807,8.375201e-02,85.287321,6.717957e+00
17PR115,58961204,2.497112,58963889,2.288163,8.738555e-02,85.287321,7.050551e+00
17PR231/2,59048564,2.509100,59219141,2.288516,9.202055e-02,85.287321,7.471763e+00
17PR116,59335844,2.525949,59474407,2.288865,9.856077e-02,86.115508,7.983874e+00
