START,n_1,C_max,Npred_1,Cpred_max,Lambda_max
11PR3/2,3465,10.174691,3465,10.229453,-5.367677e-03
7PR17,3570,9.600811,3570,9.816729,-2.224049e-02
7PR35/2,3675,9.276126,3675,9.200393,8.197843e-03
7PR18,3780,8.746138,3780,9.200091,-5.060120e-02
7PR37/2,3885,9.210905,3885,9.460167,-2.670192e-02
7PR19,3990,9.340519,3990,9.738055,-4.167965e-02
7PR39/2,4095,9.779357,4095,10.030286,-2.533539e-02
7PR20,4200,8.878276,4290,9.284223,-4.470908e-02
7PR41/2,4305,9.042850,4305,9.427212,-4.162597e-02
7PR21,4410,8.843221,4410,9.188716,-3.832502e-02
7PR43/2,4515,9.388585,4515,9.412812,-2.577159e-03
11PR2,4620,10.009883,4620,10.206638,-1.946542e-02
7PR45/2,4725,8.847231,4725,9.185929,-3.756832e-02
7PR23,4830,9.579745,4830,9.620593,-4.254887e-03
7PR47/2,4935,9.092322,4935,9.387297,-3.192703e-02
7PR24,5040,9.062729,5040,9.180674,-1.293034e-02
7PR49/2,5145,9.266343,5145,9.180587,9.297634e-03
7PR25,5250,8.922576,5250,9.178116,-2.823727e-02
7PR51/2,5355,9.263590,5355,9.789882,-5.525775e-02
7PR26,5460,9.679678,5460,10.009766,-3.353261e-02
7PR53/2,5565,9.210358,5565,9.353425,-1.541390e-02
7PR27,5670,8.995206,5670,9.173183,-1.959252e-02
11PR5/2,5775,10.138284,5775,10.192288,-5.312661e-03
7PR28,5880,8.874690,5880,9.170805,-3.282168e-02
7PR57/2,5985,9.422570,5985,9.710125,-3.006128e-02
7PR29,6090,9.219572,6090,9.508059,-3.081114e-02
7PR59/2,6195,8.846938,6195,9.329196,-5.307740e-02
7PR30,6300,8.682297,6300,9.166221,-5.423903e-02
7PR61/2,6405,9.328076,6405,9.321436,7.120358e-04
7PR31,6510,9.114034,6510,9.480012,-3.937014e-02
7PR63/2,6615,9.024734,6615,9.163865,-1.529900e-02
7PR32,6720,8.585150,6720,9.161855,-6.501466e-02
7PR65/2,6825,9.829607,6825,9.994587,-1.664473e-02
11PR3,6930,9.988592,6930,10.177499,-1.873564e-02
7PR67/2,7035,9.032198,7035,9.300514,-2.927387e-02
7PR34,7140,9.533856,7140,9.768205,-2.428347e-02
7PR69/2,7245,9.136018,7245,9.593612,-4.887278e-02
7PR35,7350,8.967982,7350,9.157180,-2.087760e-02
7PR71/2,7455,9.237626,7455,9.288217,-5.461657e-03
7PR36,7560,9.008352,7560,9.155175,-1.616715e-02
7PR73/2,7665,9.166196,7665,9.282488,-1.260724e-02
7PR37,7770,9.551872,7770,9.414738,1.446084e-02
7PR75/2,7875,8.454810,7875,9.151646,-7.919816e-02
7PR38,7980,9.579251,7980,9.689616,-1.145534e-02
11PR7/2,8085,10.234424,8085,10.167929,6.518432e-03
7PR39,8190,9.990402,8190,9.981200,9.214744e-04
7PR79/2,8295,8.933874,8295,9.268088,-3.672697e-02
7PR40,8400,9.043596,8400,9.147605,-1.143523e-02
