START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
11PR25,58789,2.653543,58901,0.805115,1.192666e+00,0.031664,5.837633e+01
11PR51/2,59734,2.643482,60041,0.795435,1.200963e+00,0.031215,5.920381e+01
13PR2,61207,2.662977,61211,0.785410,1.220994e+00,0.030777,6.100552e+01
11PR53/2,62207,2.671100,62351,0.771841,1.241467e+00,0.030206,6.287688e+01
11PR27,62956,2.621547,63521,0.761406,1.236353e+00,0.029787,6.244808e+01
11PR55/2,64606,2.658014,64679,0.750609,1.264450e+00,0.029380,6.492189e+01
11PR28,65449,2.648748,65831,0.739481,1.275894e+00,0.030535,6.252717e+01
11PR57/2,66721,2.662907,66977,0.724330,1.301927e+00,0.029986,6.464940e+01
11PR29,67904,2.676026,68141,0.712526,1.323272e+00,0.029586,6.636585e+01
11PR59/2,68416,2.677734,69263,0.700394,1.341083e+00,0.029196,6.772640e+01
11PR30,70264,2.648131,70451,0.688103,1.347671e+00,0.028813,6.802582e+01
11PR61/2,71419,2.655006,71597,0.675557,1.368665e+00,0.028437,6.960822e+01
11PR31,72064,2.590047,72763,0.662860,1.362867e+00,0.028068,6.866136e+01
11PR63/2,73624,2.681921,73907,0.649781,1.417653e+00,0.027708,7.334127e+01
11PR32,74584,2.677169,75041,0.640881,1.429671e+00,0.027470,7.412770e+01
13PR5/2,76036,2.671692,76213,0.652380,1.409840e+00,0.027297,7.397560e+01
11PR33,76861,2.681116,77383,0.674083,1.380635e+00,0.026956,7.445589e+01
11PR67/2,77899,2.690908,78539,0.695260,1.353348e+00,0.026624,7.495673e+01
11PR34,79214,2.650757,79693,0.715792,1.309211e+00,0.026301,7.357002e+01
11PR69/2,79784,2.683249,80849,0.735827,1.293789e+00,0.025986,7.494120e+01
11PR35,81526,2.664230,82003,0.755383,1.260445e+00,0.027054,7.055692e+01
11PR71/2,83086,2.681835,83137,0.774401,1.242167e+00,0.026738,7.133795e+01
11PR36,83719,2.649635,84313,0.794032,1.205053e+00,0.026429,7.021087e+01
11PR73/2,84874,2.671665,85469,0.811764,1.191247e+00,0.026134,7.116787e+01
11PR37,86134,2.684522,86599,0.829408,1.174546e+00,0.025841,7.178956e+01
11PR75/2,86974,2.660086,87767,0.846463,1.145047e+00,0.025556,7.096662e+01
11PR38,88012,2.660779,88919,0.863195,1.125734e+00,0.025278,7.111259e+01
11PR77/2,89809,2.669063,90089,0.880398,1.109109e+00,0.025006,7.152943e+01
13PR3,91006,2.648635,91243,0.896540,1.083257e+00,0.024738,7.082606e+01
11PR79/2,92107,2.679408,92399,0.911876,1.077847e+00,0.024481,7.220016e+01
11PR40,92431,2.691537,93553,0.927886,1.064959e+00,0.024216,7.282999e+01
11PR81/2,94441,2.683140,94709,0.942727,1.045966e+00,0.023980,7.257769e+01
11PR41,94936,2.679891,95857,0.957377,1.029334e+00,0.023736,7.256968e+01
11PR83/2,95917,2.659929,97007,0.972169,1.006525e+00,0.023490,7.185015e+01
11PR42,97684,2.690615,98143,0.986055,1.003813e+00,0.023269,7.325454e+01
11PR85/2,98377,2.680317,99317,0.999632,9.863031e-01,0.024277,6.922952e+01
11PR43,99364,2.682330,100483,1.013747,9.730325e-01,0.024043,6.939995e+01
11PR87/2,101006,2.677823,101627,1.026723,9.586320e-01,0.023813,6.933608e+01
11PR44,102356,2.687699,102793,1.040072,9.493955e-01,0.023578,6.987985e+01
11PR89/2,102859,2.669019,103919,1.052550,9.304952e-01,0.023369,6.917151e+01
11PR45,104506,2.690566,105097,1.064891,9.268791e-01,0.023151,7.022051e+01
13PR7/2,105832,2.672747,106243,1.077398,9.085579e-01,0.022943,6.953533e+01
11PR46,106531,2.698635,107377,1.089013,9.074743e-01,0.022736,7.079618e+01
11PR93/2,107684,2.697172,108557,1.101462,8.955654e-01,0.022530,7.082601e+01
11PR47,109297,2.708645,109721,1.112583,8.897642e-01,0.022331,7.147293e+01
11PR95/2,110281,2.698393,110879,1.124315,8.754824e-01,0.022137,7.110620e+01
11PR48,111064,2.689901,112031,1.135322,8.625881e-01,0.021941,7.085270e+01
11PR97/2,112771,2.687402,113189,1.146463,8.518934e-01,0.021755,7.083149e+01
11PR49,113623,2.704198,114343,1.157331,8.486889e-01,0.021574,7.170052e+01
11PR99/2,115114,2.679817,115499,1.167410,8.309609e-01,0.021394,7.069304e+01
11PR50,116386,2.685977,116639,1.178106,8.241365e-01,0.021216,7.107235e+01
11PR101/2,117244,2.695314,117809,1.187813,8.194009e-01,0.021041,7.164588e+01
11PR51,118894,2.696508,118931,1.198118,8.112056e-01,0.021988,6.814581e+01
11PR103/2,120091,2.676432,120103,1.208246,7.953148e-01,0.021810,6.731710e+01
13PR4,120914,2.672663,121271,1.217430,7.863333e-01,0.021636,6.725980e+01
11PR105/2,121879,2.700255,122401,1.227264,7.885589e-01,0.021464,6.862612e+01
11PR53,123094,2.687034,123583,1.236918,7.758152e-01,0.021295,6.809655e+01
11PR107/2,124541,2.663272,124739,1.245569,7.599630e-01,0.021130,6.709432e+01
11PR54,125854,2.690756,125887,1.254885,7.627783e-01,0.020966,6.848569e+01
11PR109/2,126754,2.668277,127037,1.263907,7.472252e-01,0.020808,6.749183e+01
11PR55,127189,2.682496,128203,1.272141,7.460464e-01,0.020650,6.829806e+01
11PR111/2,129049,2.706322,129347,1.281027,7.479284e-01,0.020494,6.954694e+01
11PR56,129874,2.677014,130513,1.289631,7.303459e-01,0.020343,6.819953e+01
11PR113/2,131374,2.702505,131641,1.297970,7.333776e-01,0.020186,6.957966e+01
11PR57,132274,2.680844,132817,1.305851,7.192767e-01,0.020046,6.859189e+01
11PR115/2,133384,2.670642,133979,1.314133,7.091418e-01,0.019900,6.816628e+01
11PR58,134033,2.689117,135131,1.322233,7.098909e-01,0.019758,6.918129e+01
13PR9/2,135721,2.712890,136277,1.330091,7.127671e-01,0.019609,7.051859e+01
11PR59,136711,2.717060,137443,1.337458,7.087796e-01,0.019478,7.082873e+01
11PR119/2,138064,2.694854,138599,1.345177,6.948184e-01,0.019342,6.977960e+01
11PR60,139408,2.675224,139753,1.352873,6.818026e-01,0.019207,6.884735e+01
11PR121/2,139939,2.686906,140909,1.360331,6.806623e-01,0.019075,6.954522e+01
11PR61,141748,2.698152,142061,1.367575,6.795280e-01,0.019952,6.668890e+01
11PR123/2,142684,2.653671,143197,1.374331,6.579769e-01,0.019825,6.453165e+01
11PR62,144094,2.683126,144349,1.381636,6.637142e-01,0.019689,6.610239e+01
