START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
4,4,0.000000,4,2.640647,4,0.00000000,4,2.64064726,4,0.000000000,2.640647263,37.491820,0.000000
5,5,0.000000,5,3.520863,5,0.00000000,5,3.52086302,5,0.000000000,3.520863018,19.747448,0.000000
6,6,0.000000,6,5.281295,6,0.00000000,6,5.28129453,6,0.000000000,5.281294527,14.403679,0.000000
7,7,0.000000,7,3.168777,7,0.00000000,7,3.16877672,7,0.000000000,3.168776716,11.939414,0.000000
8,8,0.000000,8,2.640647,8,0.00000000,8,2.64064726,8,0.000000000,2.640647263,10.554433,0.000000
9,9,0.000000,9,5.281295,9,0.00000000,9,5.28129453,9,0.000000000,5.281294527,9.682480,0.000000
10,10,0.000000,10,3.520863,10,0.00000000,10,3.52086302,10,0.000000000,3.520863018,9.092098,0.000000
11,11,0.000000,11,2.934053,11,0.00000000,11,2.93405251,11,0.000000000,2.934052515,8.671934,0.000000
12,12,0.000000,12,5.281295,12,0.00000000,12,5.28129453,12,0.000000000,5.281294527,8.362064,0.000000
13,13,0.000000,13,2.880706,13,0.00000000,13,2.88070611,13,0.000000000,2.880706106,8.127488,0.000000
14,14,0.000000,14,3.168777,14,0.00000000,14,3.16877672,14,0.000000000,3.168776716,7.946446,0.000000
(5#)/2,29,0.000000,16,2.640647,15,0.00000000,15,7.04172604,21,0.000000000,3.933772196,7.692647,0.000000
(5#),44,0.000000,32,2.640647,30,0.00000000,30,7.04172604,36,0.000000000,4.005637825,7.323440,0.000000
(5#)3/2,59,0.000000,59,2.686974,45,0.00000000,45,7.04172604,52,0.000000000,3.937627745,7.776756,0.000000
(5#)2,74,0.000000,64,2.640840,72,36.57974619,60,7.04172604,67,2.438649746,3.983869252,7.876622,0.000000
(5#)5/2,89,0.000000,89,2.671000,75,0.00000000,75,7.04172604,82,0.000000000,3.990671141,8.368469,0.000000
(5#)3,104,0.000000,103,2.666792,102,42.78074705,90,7.04196219,97,2.852049803,3.967481316,8.630521,0.000000
(7#)/2,119,0.000000,113,2.664437,108,43.84470566,105,8.45007124,112,2.922980377,4.052023579,8.810850,0.000000
(5#)4,134,0.000000,128,2.640687,129,23.61777661,120,7.04184952,127,1.574518440,3.985841560,9.070939,0.000000
(5#)9/2,149,0.000000,149,2.658726,138,24.27782888,135,7.04210540,142,1.618521925,3.969279749,9.415622,0.000000
(5#)5,164,0.000000,163,2.657143,150,25.10646605,150,7.04180096,157,1.673764403,3.950675942,9.634016,0.000000
(5#)11/2,179,0.000000,179,2.655642,165,26.07067918,165,7.82440930,172,1.738045279,4.027912359,9.873601,0.000000
(5#)6,193,0.000000,193,2.654537,180,26.96680086,180,7.04177595,187,4.259635042,3.968690131,10.075264,0.000000
(5#)13/2,209,0.000000,199,2.654112,198,18.64384546,195,7.68206527,202,3.716834973,4.019787889,10.159579,0.000000
(7#),224,0.000000,223,2.652643,210,0.00000000,210,8.45028395,217,0.000000000,4.016410156,10.485242,0.000000
(5#)15/2,239,0.000000,239,2.651829,236,19.90230533,231,7.04184085,232,7.877342769,4.010256757,10.692920,0.000000
(5#)8,253,0.000000,251,2.651288,254,20.44138052,240,7.04185793,247,2.697754391,3.974029223,10.844190,0.000000
(5#)17/2,269,0.000000,256,2.640690,267,15.60867379,255,7.51127287,262,3.110465293,3.972689460,10.906149,0.000000
(5#)9,284,0.000000,283,2.650114,282,15.91555770,270,7.04182772,277,6.320274160,3.993680870,11.230644,0.000000
(5#)19/2,299,0.000000,293,2.649786,285,0.00000000,285,7.45613636,292,0.000000000,4.033496185,11.346799,0.000000
(5#)10,313,0.000000,313,2.649193,314,16.52775985,300,7.04180665,307,4.393902308,3.943674623,11.573144,0.000000
(7#)3/2,329,0.000000,317,2.649084,315,16.54604598,315,8.45024503,322,1.103069732,4.027659457,11.617507,0.000000
(5#)11,344,0.000000,337,2.648577,342,13.61800653,330,7.82430953,337,1.808383359,4.017557265,11.835078,0.000000
(5#)23/2,359,0.000000,359,2.648085,356,13.80592444,345,7.37717055,352,4.583358059,4.003788017,12.066746,0.000000
(5#)12,374,0.000000,373,2.647802,370,13.98780712,360,7.04185204,367,1.859026735,3.978963737,12.210300,0.000000
(5#)25/2,389,0.000000,389,2.647535,381,14.12674577,375,7.04182478,382,4.393821749,3.961634269,12.370919,0.000000
(5#)13,404,0.000000,401,2.647325,403,11.99574662,390,7.68199827,397,3.184186111,4.026900094,12.489097,0.000000
(5#)27/2,419,0.000000,419,2.647034,415,12.11338064,405,7.04188176,412,2.415508057,3.966753606,12.662888,0.000000
(7#)2,434,0.000000,433,2.646825,432,12.27526304,420,8.45017909,427,4.072869284,4.047018908,12.795322,0.000000
(5#)29/2,449,0.000000,449,2.646601,446,12.40463044,435,7.30266881,442,5.761243891,3.976527806,12.943898,0.000000
(5#)15,463,0.000000,463,2.646419,462,21.51151802,462,7.04185737,457,6.434584597,4.038689357,13.071587,0.000000
(5#)31/2,479,0.000000,479,2.646224,473,10.83841600,465,7.28466324,472,1.441125324,3.954043599,13.215000,0.000000
(5#)16,494,0.000000,491,2.646086,493,10.98466115,480,7.04184685,487,2.918628011,3.998303449,13.320873,0.000000
(5#)33/2,509,0.000000,509,2.645891,506,11.07707397,495,7.82425160,502,3.679610150,3.995467306,13.477094,0.000000
(5#)17,524,0.000000,512,2.640687,522,9.78960091,510,7.51128732,517,1.952697894,3.961081913,13.502839,0.000000
(7#)5/2,539,0.000000,538,2.650573,525,0.00000000,525,8.45024155,532,0.000000000,4.065597459,13.722616,0.000000
(5#)18,554,0.000000,547,2.645541,552,9.96522223,540,7.04181946,547,1.988829275,3.987646894,13.797345,0.000000
(5#)37/2,569,0.000000,569,2.645349,567,10.05003903,555,7.24304752,562,4.009890269,4.000425466,13.977247,0.000000
(5#)19,584,0.000000,577,2.645283,570,20.13355041,570,7.45603313,577,4.486209299,3.964564991,14.041725,0.000000
(5#)39/2,599,0.000000,599,2.645110,597,9.07924542,585,7.68200524,592,3.623083204,4.030959689,14.216564,0.000000
(5#)20,614,0.000000,613,2.645007,610,18.28109146,600,7.04184273,607,7.300527489,3.977838545,14.326005,0.000000
(5#)41/2,629,0.000000,619,2.644964,625,9.20992140,615,7.22238622,622,3.674762727,4.006432032,14.372490,0.000000
(7#)3,643,0.000000,643,2.644817,639,9.27341457,630,8.45019716,637,2.968143027,3.998616154,14.556006,0.000000
(5#)43/2,659,0.000000,659,2.644714,651,16.78843487,645,7.21361163,652,6.715880927,3.975591241,14.676273,0.000000
(5#)22,674,0.000000,673,2.644628,669,8.46504525,660,7.82424541,667,3.380550667,4.057539090,14.780199,0.000000
(5#)45/2,689,0.000000,683,2.644569,687,8.53427826,675,7.04184645,682,3.404534603,3.939563501,14.853707,0.000000
(5#)23,704,0.000000,701,2.644467,700,8.58333071,690,7.37713652,697,1.713659203,4.044937963,14.984546,0.000000
(5#)47/2,719,0.000000,719,2.644370,718,7.86362764,705,7.19832083,712,2.091383242,3.986686070,15.113551,0.000000
(5#)24,734,0.000000,733,2.644297,733,7.91315117,720,7.04183942,727,2.632458454,3.934542530,15.212663,0.000000
(7#)7/2,749,0.000000,743,2.644248,748,7.96182221,735,8.45019133,742,4.235090484,4.079031980,15.282821,0.000000
(5#)25,764,0.000000,761,2.644161,750,15.93649791,750,7.04182980,757,4.792866343,3.969732962,15.407805,0.000000
(5#)51/2,779,0.000000,773,2.644119,765,16.03198221,765,7.51127231,772,2.586993791,4.004396863,15.490225,0.000000
(5#)26,794,0.000000,787,2.644056,792,7.42496163,780,7.68198691,787,1.481414497,3.995352051,15.585493,0.000000
(5#)53/2,808,0.000000,809,2.643962,809,7.47228719,795,7.17991776,802,2.484849324,3.995663723,15.733328,0.000000
(5#)27,823,0.000000,823,2.643904,819,14.99946403,810,7.04181384,817,5.497422603,3.985241305,15.826251,0.000000
(5#)55/2,839,0.000000,839,2.643841,825,15.03212468,825,7.82425937,832,3.937011553,3.981223576,15.931384,0.000000
(7#)4,854,0.000000,853,2.643788,851,7.00216563,840,8.45020403,847,2.795803870,4.024529459,16.022470,0.000000
(5#)57/2,866,0.000000,863,2.643751,858,14.03836201,855,7.45605045,862,4.685398995,4.037470626,16.087025,0.000000
(5#)29,883,0.000000,883,2.643679,870,21.14423093,870,7.30263706,877,5.649258923,3.995993732,16.214904,0.000000
(5#)59/2,898,0.000000,887,2.643666,897,13.20776018,885,7.16535894,892,2.740783772,3.970982644,16.240287,0.000000
