START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
5PR12,362,1.917761,373,2.697135,360,6.15932812,360,7.17246315,367,3.603982271,4.053181221,367,0.404197,360,8.97988991,373,0.000000,360,11.45688762
5PR25/2,379,1.492247,379,2.696274,375,6.01128592,375,7.17131417,382,3.609332043,4.034619349,382,0.421429,375,8.94334640,389,0.000000,375,11.37943368
5PR13,391,1.826947,401,2.695884,390,6.57136743,390,7.82387510,397,3.493629656,4.100355109,401,0.466686,390,9.21593177,404,0.000000,390,11.94264081
5PR27/2,412,2.111809,419,2.694640,405,6.06725959,405,7.17078622,412,3.760777220,4.038821333,416,0.896382,405,8.68278013,419,0.000000,405,11.22151272
7PR2,433,1.364958,433,2.694622,420,7.99188162,420,8.60223889,427,3.810424367,4.120178197,422,0.505618,420,10.12971434,434,0.000000,420,12.71699187
5PR29/2,439,2.366648,439,2.693917,435,7.48402071,435,7.43306573,442,4.104867342,4.047667906,436,0.516258,435,9.11577399,449,0.000000,435,11.34363880
5PR15,463,1.956971,463,2.693116,462,7.49643810,450,7.16810384,457,3.989477522,4.110324866,457,0.528729,462,9.35456658,464,0.000000,450,11.00718112
5PR31/2,466,1.944258,479,2.692619,465,7.47988224,465,7.41434850,472,3.818291722,4.023960004,466,0.580650,465,9.10090102,479,0.000000,465,11.19917105
5PR16,481,1.907067,491,2.692264,483,6.65597280,480,7.16531086,487,3.612001363,4.068711841,487,0.594921,480,8.82594375,493,0.000000,480,10.88565763
5PR33/2,496,1.863948,499,2.692035,495,7.79282126,495,7.96058969,502,3.868766908,4.065199066,506,1.156139,495,9.20744109,509,0.000000,495,11.63928634
5PR17,524,2.394277,512,2.686429,510,7.01146018,510,7.64264747,517,3.912216892,4.029710347,521,0.624953,510,9.03727063,524,0.000000,510,11.25541754
7PR5/2,526,2.089567,538,2.696448,525,7.78613819,525,8.59706998,532,3.817656994,4.135844334,536,0.653512,525,9.97478987,538,0.000000,525,12.30981308
5PR18,548,2.031998,541,2.691301,540,7.03712751,540,7.16260023,547,3.840467645,4.056302241,542,0.660835,546,9.04433793,554,0.000000,540,10.67730852
5PR37/2,569,1.983900,557,2.690900,555,6.91916673,555,7.36656045,562,3.620022540,4.068752720,556,0.646329,555,8.90450315,569,0.000000,555,10.84039866
5PR19,577,2.245675,577,2.690424,570,7.91213209,570,7.58365556,577,3.703510300,4.031847798,577,0.661663,570,9.04777388,584,0.000000,570,11.00859576
5PR39/2,599,2.188595,599,2.689596,585,7.50774530,585,7.81275465,592,3.860057601,4.099204601,592,0.939863,585,9.29429457,599,0.000000,585,11.20062117
5PR20,601,1.910627,601,2.689887,609,7.03221547,600,7.16027293,607,3.829507820,4.044980684,611,0.992241,600,8.25149183,614,0.000000,600,10.50265789
5PR41/2,617,1.876316,619,2.689185,615,7.25345459,615,7.34327566,622,3.819726676,4.073582934,626,0.830944,615,8.56531231,628,0.000000,615,10.65102755
7PR3,631,2.111378,643,2.688718,630,7.91377219,630,8.59207809,637,3.791617010,4.065267061,632,0.733417,630,9.81482307,643,0.000000,630,12.00374187
5PR43/2,649,2.329513,659,2.688423,645,6.23868815,645,7.33412050,652,3.782369936,4.041705932,647,0.910416,645,8.70161489,659,0.000000,645,10.56822519
5PR22,661,1.788981,661,2.688684,660,7.91893649,660,7.95360276,667,3.875933936,4.124831282,662,0.782687,660,9.32251638,674,0.000000,660,11.15664562
5PR45/2,677,2.010889,677,2.688393,675,7.30446862,675,7.15773218,682,3.849406531,4.004487421,676,0.983366,675,8.53603066,688,0.000000,675,10.32349808
5PR23,697,2.216917,701,2.687975,693,7.17206434,690,7.49893355,697,3.939479803,4.111263752,701,0.964546,690,8.86605705,703,0.000000,690,10.62883142
5PR47/2,706,1.706515,719,2.687407,714,7.25655511,705,7.31662958,712,3.962780321,4.051920760,716,0.837726,705,8.29412864,719,0.000000,705,10.41878402
5PR24,734,2.135493,733,2.687452,720,6.73346279,720,7.15644784,727,3.841887122,3.998774912,731,1.010875,720,8.28776552,734,0.000000,720,10.22513979
7PR7/2,743,2.355865,739,2.687098,735,8.54549570,735,8.58719170,742,4.196812727,4.145238905,746,0.980238,735,9.66469263,749,0.000000,735,11.77652734
5PR25,751,2.338294,761,2.687024,750,7.24579438,750,7.15630777,757,3.951470508,4.033867907,751,0.798453,750,8.40065213,764,0.000000,750,10.16777890
5PR51/2,766,2.072834,773,2.686848,765,7.15563604,765,7.63291811,772,3.867464214,4.068979782,766,0.784556,765,8.92592618,779,0.000000,765,10.62013469
5PR26,788,1.806384,787,2.686405,780,7.04990800,780,7.80528485,787,3.860158173,4.059648712,787,0.776549,780,9.05234426,794,0.000000,780,10.76360478
5PR53/2,802,1.784236,797,2.686508,795,6.51590604,795,7.29471835,802,3.869580025,4.059630304,802,0.930229,795,8.55573905,809,0.000000,795,10.22976928
