START,n_0,C_min,Npred_0,Cpred_min,Lambda_min
7PR23/2,2447,2.190317,2503,2.676943,-2.006292e-01
7PR12,2623,2.363446,2621,2.676720,-1.244714e-01
7PR25/2,2633,2.168203,2729,2.676474,-2.106015e-01
7PR13,2809,2.065835,2833,2.676249,-2.588817e-01
7PR27/2,2909,2.274897,2939,2.675980,-1.623809e-01
7PR14,2974,2.064698,3041,2.675833,-2.592768e-01
7PR29/2,3076,1.845344,3137,2.675654,-3.715281e-01
7PR15,3221,2.107297,3253,2.675448,-2.387108e-01
7PR31/2,3334,2.210551,3359,2.675223,-1.907909e-01
7PR16,3386,2.340982,3463,2.675056,-1.333998e-01
11PR3/2,3559,2.029695,3559,2.674908,-2.760295e-01
7PR17,3571,2.249487,3673,2.674779,-1.731646e-01
7PR35/2,3769,1.943543,3779,2.674587,-3.192824e-01
7PR18,3799,2.075010,3881,2.674486,-2.537912e-01
7PR37/2,3964,2.216472,3989,2.674342,-1.877866e-01
7PR19,4051,2.044491,4093,2.674208,-2.685044e-01
7PR39/2,4153,2.340594,4096,2.673517,-1.329901e-01
7PR20,4282,2.220909,4297,2.673959,-1.856436e-01
7PR41/2,4393,2.306710,4409,2.673829,-1.476893e-01
7PR21,4486,2.143577,4513,2.673712,-2.209918e-01
7PR43/2,4603,2.102361,4603,2.673583,-2.403585e-01
11PR2,4651,2.085780,4723,2.673457,-2.482295e-01
7PR45/2,4801,1.856187,4817,2.673391,-3.648233e-01
7PR23,4909,2.178086,4933,2.673275,-2.048578e-01
7PR47/2,4987,2.151973,5039,2.673145,-2.168706e-01
7PR24,5086,2.176695,5119,2.673070,-2.054200e-01
7PR49/2,5242,2.126897,5237,2.672990,-2.285336e-01
7PR25,5308,2.217466,5351,2.672862,-1.867847e-01
7PR51/2,5416,1.965120,5449,2.672803,-3.075744e-01
7PR26,5557,2.301782,5563,2.672682,-1.493989e-01
7PR53/2,5596,2.182571,5669,2.672620,-2.025557e-01
7PR27,5728,2.248387,5749,2.672555,-1.728219e-01
11PR5/2,5857,2.159168,5879,2.672429,-2.132648e-01
7PR28,5906,2.349289,5981,2.672375,-1.288549e-01
7PR57/2,6038,2.309643,6089,2.672295,-1.458447e-01
7PR29,6131,2.233345,6173,2.672233,-1.794140e-01
7PR59/2,6218,2.356115,6299,2.672121,-1.258585e-01
7PR30,6353,2.124621,6397,2.672075,-2.292619e-01
7PR61/2,6421,2.298798,6491,2.671989,-1.504368e-01
7PR31,6568,2.399779,6607,2.671912,-1.074177e-01
