START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign,CpredBound
11PR67/2,78506,1.243398,78539,2.640702,78435,9.53897123,77805,9.76058687,77960,3.958401533,3.999553832,0.000000,0.000000,0.000000
11PR34,79616,1.228462,79693,2.640701,78540,10.35400418,78540,10.01497809,79115,3.880042982,4.000228310,0.000000,0.000000,0.000000
11PR69/2,79841,1.226120,80849,2.640701,79800,10.22493277,79695,9.83613901,80270,4.211443200,4.000541576,0.000000,0.000000,0.000000
11PR35,81974,1.000079,82003,2.640700,80955,10.50920526,80850,9.38904174,81425,4.280734033,3.999747397,0.000000,0.000000,0.000000
11PR71/2,82526,1.193130,83137,2.640700,82215,9.97481270,82005,9.52511464,82580,3.957566218,3.999858970,0.000000,0.000000,0.000000
11PR36,83548,0.984221,84313,2.640699,83160,10.27473603,83160,9.38904153,83735,3.789509912,3.999802075,0.000000,0.000000,0.000000
11PR73/2,84904,0.971388,85469,2.640699,84525,9.75034444,84630,9.53620495,84890,3.850815728,4.000310907,0.000000,0.000000,0.000000
11PR37,85597,0.578866,86599,2.640698,85680,9.83504704,85470,9.65729965,86045,3.870795646,4.000297222,0.000000,0.000000,0.000000
11PR75/2,87623,1.135333,87767,2.640698,86625,9.74480536,86625,9.38904117,87200,3.801296870,3.999537995,0.000000,0.000000,0.000000
11PR38,87784,1.134043,88919,2.640697,88665,9.74609920,87780,9.94133766,88355,3.929900300,4.000466635,0.000000,0.000000,0.000000
11PR77/2,89399,1.117304,90089,2.640697,89250,9.88078813,88935,9.38904098,89510,4.036524646,3.999302158,0.000000,0.000000,0.000000
13PR3,90274,1.292785,91243,2.640697,90090,10.91565775,90090,10.24259011,90665,4.128851391,4.000586448,0.000000,0.000000,0.000000
11PR79/2,91589,1.277044,92399,2.640696,91770,10.57010616,91245,9.51097638,91820,4.154401079,4.000318074,0.000000,0.000000,0.000000
11PR40,93497,1.256200,93553,2.640696,92430,10.14058292,92820,9.83288622,92975,4.181691523,3.999697377,0.000000,0.000000,0.000000
11PR81/2,94313,1.603292,94709,2.640696,94185,10.87894820,94185,9.65729888,94130,4.245448433,4.000084787,0.000000,0.000000,0.000000
11PR41,95813,1.054625,95857,2.640695,95550,10.40024290,94710,9.62978520,95285,4.113650776,3.999931764,0.000000,0.000000,0.000000
11PR83/2,96532,1.223013,97007,2.640695,96915,10.44863139,95865,9.50495451,96440,3.896413348,4.000697890,0.000000,0.000000,0.000000
11PR42,97841,0.691337,98143,2.640694,97140,9.21509322,97020,9.38904040,97595,3.761011689,3.999166330,0.000000,0.000000,0.000000
11PR85/2,98737,1.029221,99317,2.640694,98175,9.99761765,98175,10.01497628,98750,3.847667397,3.999892795,0.000000,0.000000,0.000000
11PR43,99524,1.022027,100483,2.640694,99330,10.40715856,99330,9.61804121,99905,4.008944981,3.999976678,0.000000,0.000000,0.000000
11PR87/2,101249,1.175517,101627,2.640693,101010,10.09725842,100485,9.73678252,101060,4.114055834,4.000357545,0.000000,0.000000,0.000000
11PR44,101746,1.004000,102793,2.640693,102555,9.63980345,101745,9.54368306,102215,3.943113076,4.000077625,0.000000,0.000000,0.000000
11PR89/2,103219,1.322858,103919,2.640693,102795,10.11726062,103740,9.76058475,103370,3.885022059,4.000168340,0.000000,0.000000,0.000000
11PR45,104957,1.304833,105097,2.640693,104475,9.32937625,103950,9.38903990,104525,3.779735276,3.999456529,0.000000,0.000000,0.000000
13PR7/2,105883,1.294965,106243,2.640692,105105,11.72489579,105105,10.24258904,105680,4.019690375,4.000025183,0.000000,0.000000,0.000000
11PR46,107336,1.120188,107377,2.640692,106260,10.49000073,106260,9.83613688,106835,3.847870034,4.000210308,0.000000,0.000000,0.000000
11PR93/2,107846,1.275180,108557,2.640692,107640,9.74316860,107415,9.71279979,107990,4.000475245,4.000124243,0.000000,0.000000,0.000000
11PR47,108826,1.107665,109721,2.640691,109410,10.24073698,108570,9.59768492,109145,3.892135285,4.000042548,0.000000,0.000000,0.000000
11PR95/2,110443,1.250731,110879,2.640691,109725,11.00176418,109725,9.94133610,110300,3.980090654,4.000256957,0.000000,0.000000,0.000000
11PR48,111278,1.242987,112031,2.640691,110880,9.50474325,111930,9.45469697,111456,3.862160128,3.999730407,0.000000,0.000000,0.000000
11PR97/2,112696,1.076360,113189,2.640691,112035,10.04172378,112035,9.48787150,112611,3.905577027,4.000284218,0.000000,0.000000,0.000000
