START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
(11#)51/2,59734,2.643482,60041,2.823184,58905,10.64639186,58905,10.70828520,59479,4.241841044,4.276317046,85.212225,2.651370
(13#)2,61207,2.662977,61211,2.822847,60060,10.86335286,60060,10.95032440,60634,4.244563965,4.276223516,85.912860,2.652335
(11#)53/2,62207,2.671100,62351,2.822581,61215,10.19966044,61215,10.23341890,61789,4.250088053,4.275781903,86.588445,2.653304
(11#)27,62956,2.621547,63521,2.822256,62790,10.34076428,62790,10.32190423,62944,4.248664532,4.275389747,87.274748,2.654216
(11#)55/2,64606,2.658014,64679,2.821938,64155,10.02516474,64155,10.07041614,64099,4.246485334,4.274993217,87.947168,2.655091
(11#)28,65449,2.648748,65536,2.821688,64680,9.92014169,64680,10.03339178,65254,4.249983601,4.274161141,88.440533,2.655705
(11#)57/2,66721,2.662907,66977,2.821379,65835,10.47241662,65835,10.62264666,66409,4.246683330,4.273770684,89.262130,2.656815
(11#)29,67904,2.676026,68141,2.821131,66990,10.30138568,66990,10.40293567,67565,4.245380163,4.273570225,89.918691,2.657683
(11#)59/2,68416,2.677734,69263,2.820839,68145,10.14285019,68145,10.20651301,68720,4.252730309,4.273114148,90.545724,2.658442
(11#)30,70264,2.648131,70451,2.820596,69615,10.55162139,69615,10.50341842,69875,4.250848780,4.272789603,91.203558,2.659286
(11#)61/2,71419,2.655006,71597,2.820309,70455,10.08871931,70455,10.19861648,71030,4.255457151,4.272234264,91.832355,2.660024
(11#)31,72064,2.590047,72763,2.820076,71610,10.33695762,71610,10.37338970,72185,4.246238918,4.271953561,92.466449,2.660812
(11#)63/2,73624,2.681921,73907,2.819799,73185,9.94320474,72765,10.02679889,73340,4.243970409,4.271388737,93.083150,2.661514
(11#)32,74584,2.677169,75041,2.819578,73920,9.93344679,73920,10.02580053,74495,4.245396388,4.271071624,93.689282,2.662243
(13#)5/2,76036,2.671692,76213,2.819304,75075,10.74536305,75075,10.93637839,75650,4.251719836,4.270546089,94.310436,2.662931
(11#)33,76861,2.681116,77383,2.819084,76230,10.07106646,76230,10.02404463,76805,4.255662561,4.270577292,94.925294,2.663650
(11#)67/2,77899,2.690908,78539,2.818821,77805,10.32860248,77805,10.41952055,77960,4.252377982,4.269526867,95.527777,2.664297
(11#)34,79214,2.650757,79693,2.818610,78540,10.70727574,78540,10.69049551,79115,4.249769195,4.269852617,96.124357,2.664976
(11#)69/2,79784,2.683249,80849,2.818354,79695,10.47948280,79695,10.49881604,80270,4.246603634,4.269869786,96.717212,2.665593
(11#)35,81526,2.664230,82003,2.818149,80850,10.00021078,80850,10.02068265,81425,4.245351477,4.268638949,97.304395,2.666243
(11#)71/2,83086,2.681835,83137,2.817903,82005,10.09088684,82005,10.16517769,82580,4.243364771,4.268449616,97.876978,2.666821
(11#)36,83719,2.649635,84313,2.817700,83265,9.97389967,83160,10.01907155,83735,4.237757415,4.268084107,98.466237,2.667457
(11#)73/2,84874,2.671665,85469,2.817502,84315,10.08589905,84630,10.17523832,84890,4.233765408,4.268258839,99.041072,2.668068
(11#)37,86134,2.684522,86599,2.817267,85470,10.19744815,85470,10.30387967,86045,4.239555713,4.267947757,99.598850,2.668609
(11#)75/2,86974,2.660086,87767,2.817073,86625,10.12996226,86625,10.01682049,87200,4.238156085,4.266779325,100.171184,2.669202
(11#)38,88012,2.660779,88919,2.816840,87780,10.51800171,87780,10.60531476,88355,4.236351893,4.267481279,100.731578,2.669732
(11#)77/2,89809,2.669063,90089,2.816651,88935,9.84158481,88935,10.01531218,89510,4.236683676,4.265953828,101.296647,2.670304
(13#)3,91006,2.648635,91243,2.816466,90090,10.93313008,90090,10.92506195,90665,4.242277597,4.266978551,101.850040,2.670856
(11#)79/2,92107,2.679408,92399,2.816241,91245,10.02857562,91245,10.14404148,91820,4.241753391,4.266414227,102.400537,2.671357
(11#)40,92431,2.691537,93553,2.816061,92820,10.43991450,92820,10.48634835,92975,4.243673119,4.265477347,102.946309,2.671889
(11#)81/2,94441,2.683140,94709,2.815882,94185,10.22497797,94185,10.29820304,94130,4.246501700,4.265557809,103.489320,2.672411
(11#)41,94936,2.679891,95857,2.815667,94710,10.30057752,94710,10.26862861,95285,4.244836122,4.265126495,104.024971,2.672881
(11#)83/2,95917,2.659929,97007,2.815493,95865,9.95785438,95865,10.13474684,96440,4.246364474,4.265678209,104.558023,2.673381
(11#)42,97684,2.690615,98143,2.815323,97020,10.02618964,97020,10.01052755,97595,4.244134728,4.263724220,105.081178,2.673867
(11#)85/2,98377,2.680317,99317,2.815112,98175,10.53669246,98175,10.67725047,98750,4.243251979,4.264239946,105.618340,2.674323
(11#)43,99364,2.682330,100483,2.814943,99330,10.24234657,99330,10.25330160,99905,4.244701977,4.264073320,106.148391,2.674805
(11#)87/2,101006,2.677823,101627,2.814777,100485,10.39660957,100485,10.37927276,101060,4.240461944,4.264169187,106.665158,2.675268
(11#)44,102356,2.687699,102793,2.814611,101745,10.08245153,101745,10.17278904,102215,4.238576525,4.263620726,107.188576,2.675733
(11#)89/2,102859,2.669019,103919,2.814415,103740,10.33481299,103740,10.40276538,103370,4.238533008,4.263469929,107.690945,2.676138
(11#)45,104506,2.690566,105097,2.814251,103950,9.91517448,103950,10.00669444,104525,4.242566980,4.262466388,108.213315,2.676592
(13#)7/2,105832,2.672747,106243,2.814093,105105,10.81355577,105105,10.91577712,105680,4.250330372,4.262775627,108.718411,2.677027
(11#)46,106531,2.698635,107377,2.813937,106260,10.58183677,106260,10.48201276,106835,4.244931489,4.262733492,109.215273,2.677448
(11#)93/2,107684,2.697172,108557,2.813744,107415,10.36937596,107415,10.35000374,107990,4.241142337,4.262404774,109.729233,2.677847
(11#)47,109297,2.708645,109721,2.813588,108570,10.10868594,108570,10.22663749,109145,4.237402204,4.262083078,110.233219,2.678267
(11#)95/2,110281,2.698393,110879,2.813435,109725,10.54051807,109725,10.59223495,110300,4.241039623,4.262027013,110.731696,2.678678
(11#)48,111064,2.689901,112031,2.813284,111930,9.96290518,111930,10.07267974,111456,4.242216946,4.261236493,111.224754,2.679081
