START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
7PR115D2,12178,0.000000,12161,2.640890,12075,11.27734211,12075,8.85254114,12127,4.118083181,4.004925446,12177,0.000000,12075,12.83233822,12179,0.000000,12075,24.73061943
7PR58,12234,0.927594,12281,2.640887,12270,9.28173593,12180,8.76312044,12232,3.913059658,4.000860017,12282,0.000000,12180,12.70793226,12284,0.000000,12180,24.56556990
7PR117D2,12319,0.000000,12379,2.640886,12285,10.21255951,12285,9.21834726,12337,4.297947734,4.000394635,12387,0.000000,12285,13.07089889,12389,0.000000,12285,24.99789833
7PR59,12422,0.916212,12479,2.640884,12390,15.64773947,12390,8.59840058,12442,4.795076506,3.997360290,12492,0.000000,12441,12.99055339,12494,0.000000,12390,24.30435630
7PR119D2,12539,0.913327,12589,2.640882,12540,10.96011164,12495,9.01349557,12547,4.841113831,4.007522238,12596,0.000000,12597,12.92122288,12599,0.000000,12495,24.64729660
7PR60,12704,0.000000,12703,2.640881,12600,10.91522665,12600,8.45015108,12652,4.334716948,3.990852887,12702,0.000000,12600,12.36484094,12704,0.000000,12600,24.06220747
11PR11D2,12758,0.000000,12791,2.640879,12705,10.82397479,12705,9.38905836,12757,4.196292621,4.004709402,12807,0.000000,12705,13.22157385,12809,0.000000,12705,24.93085612
7PR61,12878,0.891080,12911,2.640877,12810,11.62894357,12810,8.59337442,12862,4.083223051,4.000391970,12912,0.000000,12870,12.83884512,12914,0.000000,12810,24.06625834
7PR123D2,12944,0.000000,13009,2.640875,13008,10.61010309,12915,8.66682188,12967,4.106981741,3.995835522,13017,0.000000,12936,12.61780233,13019,0.000000,12915,24.11903680
7PR62,13057,0.880540,13109,2.640874,13110,11.45680276,13020,8.74153649,13072,4.242629895,4.005139296,13122,0.000000,13020,12.60658877,13124,0.000000,13020,24.12660867
7PR125D2,13189,0.873843,13229,2.640872,13125,9.64925601,13125,8.45015175,13177,3.846738997,3.999371705,13227,0.000000,13167,13.01027813,13229,0.000000,13125,23.76933863
7PR63,13321,0.000000,13331,2.640871,13320,9.53968927,13230,8.45015079,13282,3.698309627,3.998121508,13332,0.000000,13260,12.52839495,13334,0.000000,13230,23.74967324
7PR127D2,13435,0.000000,13421,2.640869,13377,7.77484175,13335,8.51775337,13387,3.306123450,3.998514361,13437,0.000000,13377,12.49326824,13439,0.000000,13335,23.75304768
7PR64,13451,0.000000,13537,2.640867,13530,8.57732608,13440,8.45015120,13492,3.520231631,4.001360016,13542,0.000000,13455,12.20662014,13544,0.000000,13440,23.62239508
7PR129D2,13606,0.000000,13649,2.640866,13545,12.86898654,13545,8.65625227,13597,4.021779491,3.992445970,13647,0.000000,13566,12.76929542,13649,0.000000,13545,23.80977146
7PR65,13666,0.000000,13751,2.640864,13689,8.51767158,13650,9.21834719,13702,4.159371501,4.008024086,13752,0.000000,13650,12.93320242,13754,0.000000,13650,24.31036899
7PR131D2,13789,0.000000,13859,2.640863,13755,9.33507762,13755,8.51565647,13807,4.261699924,3.997318946,13857,0.000000,13755,12.29433717,13859,0.000000,13755,23.58944162
11PR6,13963,0.000000,13963,2.640862,13881,10.95114154,13860,9.38905611,13912,3.854420632,4.001842655,13962,0.000000,13860,13.08786266,13964,0.000000,13860,24.40284107
7PR133D2,14044,0.000000,14057,2.640860,14040,10.82693597,13965,8.94721955,14017,3.194797945,4.001225093,14067,0.000000,13965,12.70349814,14069,0.000000,13965,23.90206956
7PR67,14174,0.000000,14173,2.640858,14103,7.46849823,14070,8.58015321,14122,2.772829776,3.999011843,14172,0.000000,14091,12.63660341,14174,0.000000,14070,23.51761660
7PR135D2,14279,0.000000,14251,2.640858,14199,7.44526602,14175,8.45015072,14227,3.071165412,3.999570829,14277,0.000000,14196,12.49521834,14279,0.000000,14175,23.33008563
7PR68,14342,0.000000,14369,2.640856,14355,9.81646941,14280,9.01349469,14332,3.262855815,4.001194871,14382,0.000000,14322,12.75905319,14384,0.000000,14280,23.83690272
7PR137D2,14464,0.812082,14489,2.640855,14475,9.74652917,14385,8.51274481,14437,3.663187654,3.999905441,14487,0.000000,14421,12.53791497,14489,0.000000,14385,23.31956447
7PR69,14524,0.812784,14593,2.640853,14520,11.37832028,14490,8.85253833,14542,4.531067774,3.999795864,14592,0.000000,14490,12.53512710,14594,0.000000,14490,23.60415422
7PR139D2,14671,1.607645,14699,2.640852,14610,11.29305971,14595,8.51183140,14647,4.780209274,4.000328741,14697,0.000000,14637,12.44268839,14699,0.000000,14595,23.20918658
7PR70,14797,0.798284,14797,2.640851,14760,10.41738396,14700,8.45015060,14752,4.662409571,3.996116866,14802,0.000000,14742,12.34455861,14804,0.000000,14700,23.13166809
7PR141D2,14866,0.000000,14897,2.640849,14805,9.58049205,14805,8.63793156,14857,4.106035865,4.002169136,14907,0.000000,14805,12.20081592,14909,0.000000,14805,23.26643472
7PR71,14923,0.000000,15013,2.640848,14952,10.31096233,14910,8.57261553,14962,4.232170310,3.993842230,15012,0.000000,14910,12.19464903,15014,0.000000,14910,23.18567200
13PRD2,16169,0.000000,16141,2.640836,15345,11.66128231,15015,10.24260702,15581,4.246893119,4.000451073,16167,0.000000,15015,13.77556894,16169,0.000000,15015,24.80385417
11PR7,17201,0.000000,16384,2.640672,16590,10.20664308,16170,9.38905458,16737,3.654057388,3.999714567,17322,0.000000,16170,12.73152594,17324,0.000000,16170,23.55858963
11PR15D2,18233,0.000000,18461,2.640815,17589,11.15926326,17325,9.38905487,17893,4.205591718,4.000045746,18477,0.000000,17325,12.57470365,18479,0.000000,18445,25.12893520
11PR8,19073,0.000000,19609,2.640806,19320,11.00144104,18480,9.38905330,19048,3.425795231,3.999597349,19631,0.000000,18480,12.42689349,19634,0.000000,18655,25.05531505
11PR17D2,20684,0.000000,20789,2.640798,20235,13.06659574,19635,10.01499047,20204,4.034092614,4.000310441,20786,0.000000,19635,12.91978262,20789,0.000000,20020,24.52035135
11PR9,21089,0.602626,21943,2.640791,21270,11.36592355,20790,9.38905220,21359,4.243921728,4.000059768,21941,0.000000,20790,12.17367318,21944,0.000000,20930,23.61606916
11PR19D2,22999,0.000000,23099,2.640785,22425,10.89611515,21945,9.94134964,22515,4.074545511,3.999807336,23096,0.000000,21945,12.61634281,23099,0.000000,22330,22.89850423
11PR10,23987,0.543918,24251,2.640780,23790,11.49581256,23205,9.83289815,23670,4.191807967,4.000182008,24251,0.000000,23205,12.46057136,24254,0.000000,23205,22.43572140
11PR21D2,25351,0.000000,25409,2.640775,25305,11.45051536,24255,9.38905146,24825,3.431039607,3.999831135,25406,0.000000,24255,11.87893726,25409,0.000000,24255,21.84421067
11PR11,26197,0.000000,26561,2.640770,26025,10.69283632,25935,9.76059606,25981,4.067772874,4.000154336,26561,0.000000,25935,12.18454978,26564,0.000000,25935,21.98668141
11PR23D2,27557,0.486188,27701,2.640766,26565,13.00402176,26565,9.83614823,27136,3.774606650,3.999949401,27716,0.000000,26565,12.16031631,27719,0.000000,26565,21.98654843
11PR12,28742,0.469457,28871,2.640762,28215,10.50134908,27720,9.38905038,28291,4.161974938,4.000113876,28871,0.000000,27720,11.64168082,28874,0.000000,27720,21.41508593
11PR25D2,29473,0.460476,30029,2.640758,28980,10.74308612,28875,9.38904981,29446,3.736364128,3.999414590,30026,0.000000,28875,11.57489777,30029,0.000000,28875,21.30230853
13PR,30728,0.000000,31183,2.640755,30870,10.19870921,30030,10.24259959,30602,3.814228862,4.000552854,31181,0.000000,30030,12.36433121,31184,0.000000,30030,22.05347343
11PR27D2,31897,0.431897,32327,2.640752,32130,11.15549677,31395,9.65730784,31757,3.890050145,4.000231478,32336,0.000000,31395,11.74033964,32339,0.000000,31395,21.36175913
