n,ratio,c_pred,baseline,c_meas,lambda,status
3030063,1.03277604,5.85998362,-0.33397663,6.05205065,0.03225036,EXPECTED
3047937,1.03652924,5.26010277,-0.33275335,5.45225032,0.03587786,EXPECTED
3050133,1.03666216,5.14936106,-0.33260411,5.33814776,0.03600609,EXPECTED
3067908,1.03849338,4.95464673,-0.33140189,5.14536781,0.03777099,EXPECTED
3087744,1.03233103,6.05097216,-0.36675020,6.24660633,0.03181938,EXPECTED
3103026,1.03468859,4.97317813,-0.32906352,5.14569066,0.03410050,EXPECTED
3115368,1.04147304,4.95813621,-0.32825313,5.16376521,0.04063610,EXPECTED
3126792,1.03625424,5.27027230,-0.32750818,5.46134202,0.03561252,EXPECTED
3143874,1.03911053,5.17061676,-0.32640322,5.37284234,0.03836509,EXPECTED
3164109,1.04008440,5.44152752,-0.32510818,5.65964788,0.03930186,EXPECTED
3182412,1.03340529,4.99817136,-0.32394980,5.16513674,0.03285946,EXPECTED
3194997,1.03468041,6.01332952,-0.32316019,6.22187425,0.03409260,EXPECTED
3212169,1.02766400,4.97443379,-0.32209149,5.11204655,0.02728827,EXPECTED
3216564,1.03674295,5.73597915,-0.32181978,5.94673595,0.03608402,EXPECTED
3228483,1.03640011,5.30092730,-0.32108591,5.49388165,0.03575328,EXPECTED
3247371,1.03893531,5.08989214,-0.31993316,5.28806867,0.03819645,EXPECTED
3272919,1.03669990,5.44822798,-0.31839299,5.64817741,0.03604250,EXPECTED
3278508,1.03608285,5.16430653,-0.31805910,5.35064945,0.03544712,EXPECTED
3299802,1.03776269,5.94953458,-0.35199526,6.17420501,0.03706714,EXPECTED
3305847,1.03712210,5.05121288,-0.31643952,5.23872449,0.03644966,EXPECTED
3332238,1.03347796,7.02397489,-0.37787918,7.25912327,0.03292978,EXPECTED
3339324,1.03734268,5.43467774,-0.31448947,5.63762315,0.03666232,EXPECTED
3359733,1.03451860,5.49292429,-0.31331751,5.68253236,0.03393620,EXPECTED
3364023,1.03125889,5.45353630,-0.31307284,5.62400780,0.03078028,EXPECTED
3381657,1.03286042,5.42717262,-0.31207318,5.60551180,0.03233206,EXPECTED
3398538,1.03081667,6.51830792,-0.34569437,6.71918047,0.03035137,EXPECTED
3422718,1.03837254,5.45714925,-0.30978105,5.66655394,0.03765463,EXPECTED
3438123,1.03721333,5.50001437,-0.30893417,5.70468825,0.03653763,EXPECTED
3452829,1.03511802,5.28223515,-0.30813183,5.46773681,0.03451545,EXPECTED
