n,ratio,c_pred,baseline,c_meas,lambda,status
4,-1.14335793,-3.36169805,-6.23183504,3.84362411,,EXPECTED
5,-2.99673803,-0.86436998,-5.13046327,2.59029039,,EXPECTED
6,-0.86635085,-3.70566033,-9.11946764,3.21040200,,EXPECTED
7,-0.00000000,-2.58135200,-5.97438848,0.00000000,,EXPECTED
8,-0.71314963,-3.03167590,-5.84631371,2.16203856,,EXPECTED
9,-2.27817081,-2.11915447,-7.93952153,4.82779584,,EXPECTED
10,-0.81723155,-2.59505308,-6.45042512,2.12075924,,EXPECTED
11,-0.00000000,-3.89800959,-6.99547781,0.00000000,,EXPECTED
12,-2.05343343,-2.00469482,-7.57063190,4.11650737,,EXPECTED
13,-0.47958531,-3.91943689,-7.00967461,1.87970434,,EXPECTED
14,-0.49376495,-4.03003987,-7.42058115,1.98989245,,EXPECTED
21,-4.92441120,-1.02669776,-7.69095273,5.05588193,,EXPECTED
30,-12.02668879,-0.48093635,-7.82166046,5.78407181,,EXPECTED
45,-7.27923412,-0.82945306,-8.16853117,6.03778305,,EXPECTED
63,-3.45995742,-1.75101428,-8.32600761,6.05843483,,EXPECTED
84,-5.21032355,-1.00478149,-7.54720112,5.23523667,,EXPECTED
99,-5.22712744,-1.06704507,-7.11035596,5.57758057,,EXPECTED
105,-16.16839770,-0.47003859,-9.17634675,7.59977086,,EXPECTED
132,-17.52831460,-0.34483569,-6.37957140,6.04438849,,EXPECTED
138,-9.64319789,-0.53709052,-6.22879139,5.17927016,,EXPECTED
156,-204.82634170,-0.02929431,-5.95166130,6.00024605,,EXPECTED
171,-172.96576210,-0.02958263,-5.77120235,5.11678144,,EXPECTED
186,-1274.58494743,-0.00424264,-5.61224519,5.40760956,,EXPECTED
209,-2.14883345,-1.64554192,-4.83032685,3.53599552,,EXPECTED
217,-2.36996112,-1.44894795,-4.81145416,3.43395032,,EXPECTED
238,-2.07522570,-1.34233632,-4.80618660,2.78565082,,EXPECTED
253,-1.88765674,-1.65755111,-4.80557580,3.12888751,,EXPECTED
266,-2.21532765,-1.35873428,-4.79604497,3.01004162,,EXPECTED
280,-1.80268322,-2.08576277,-6.41051113,3.75996954,,EXPECTED
287,-1.94044197,-1.48134487,-4.80954270,2.87446375,,EXPECTED
308,-2.88907116,-1.22496072,-4.82817127,3.53899870,,EXPECTED
329,-2.20798506,-1.52999056,-4.84389355,3.37819630,,EXPECTED
341,-1.88327044,-1.75713696,-4.86138477,3.30916410,,EXPECTED
350,-1.99234657,-2.17561266,-6.49583560,4.33457442,,EXPECTED
371,-2.39270360,-1.59319306,-4.89773328,3.81203877,,EXPECTED
385,-2.30636907,-1.76458840,-6.56332154,4.06979210,,EXPECTED
392,-1.77939520,-1.69337334,-4.93284454,3.01318039,,EXPECTED
413,-1.92999140,-1.67102280,-4.96656393,3.22505964,,EXPECTED
427,-2.04472750,-1.70130991,-4.99471196,3.47871516,,EXPECTED
442,-1.80097896,-1.88069507,-5.02085213,3.38709226,,EXPECTED
455,-2.54239063,-2.01990066,-6.72986364,5.13537652,,EXPECTED
476,-2.32659904,-1.64012546,-5.09284425,3.81591433,,EXPECTED
490,-1.60015496,-2.51468722,-6.83035869,4.02388924,,EXPECTED
506,-1.67375698,-2.02152560,-5.16042083,3.38354259,,EXPECTED
518,-1.93646127,-1.85982473,-5.18758289,3.60147856,,EXPECTED
533,-1.49805562,-2.17771011,-5.19461775,3.26233086,,EXPECTED
551,-1.49250115,-2.13536834,-5.09577263,3.18703970,,EXPECTED
