n,ratio,c_pred,baseline,c_meas,lambda,status
669270,0.95540053,9.15238080,0.62438355,8.74418950,-0.04562462,EXPECTED
687591,0.95872069,6.02641170,0.38336043,5.77764557,-0.04215550,EXPECTED
698991,0.95693094,6.02128429,0.37924254,5.76195322,-0.04402406,EXPECTED
718692,0.95789900,6.59536965,0.37240239,6.31769797,-0.04301294,EXPECTED
722982,0.95788241,6.67010954,0.37095726,6.38918062,-0.04303025,EXPECTED
744651,0.95770182,6.28090167,0.36388547,6.01523098,-0.04321880,EXPECTED
754758,0.95791333,5.69201818,0.36071131,5.45246009,-0.04299797,EXPECTED
768534,0.96130100,6.30646603,0.35650506,6.06241209,-0.03946770,EXPECTED
785220,0.95920998,7.92380998,0.46878401,7.60059760,-0.04164527,EXPECTED
807633,0.96032196,5.98747446,0.34526990,5.74990323,-0.04048667,EXPECTED
820443,0.96092154,6.23871415,0.34179832,5.99491479,-0.03986252,EXPECTED
833718,0.96197817,5.69569704,0.33830132,5.47913624,-0.03876352,EXPECTED
848721,0.96561579,5.66192344,0.33446670,5.46724268,-0.03498926,EXPECTED
859962,0.96381300,6.01489559,0.33167255,5.79723454,-0.03685799,EXPECTED
877617,0.96359686,6.14913733,0.32741321,5.92528942,-0.03708227,EXPECTED
889734,0.96355032,5.68203576,0.32457829,5.47492738,-0.03713057,EXPECTED
908937,0.96821878,5.90235830,0.32022347,5.71477417,-0.03229720,EXPECTED
921213,0.96728472,6.02551878,0.31752529,5.82839225,-0.03326239,EXPECTED
938043,0.96385903,5.99706758,0.31392861,5.78032776,-0.03681023,EXPECTED
947193,0.96695860,6.19920991,0.31202143,5.99437933,-0.03359960,EXPECTED
971763,0.96741090,6.11850722,0.30705959,5.91911059,-0.03313195,EXPECTED
982878,0.97125429,6.11651904,0.30488789,5.94069536,-0.02916696,EXPECTED
992616,0.96824671,5.73110037,0.30302158,5.54911907,-0.03226836,EXPECTED
1009515,0.96829853,8.46365235,0.39981222,8.19534216,-0.03221484,EXPECTED
1030983,0.96632576,5.62272648,0.29597569,5.43338544,-0.03425428,EXPECTED
1037214,0.96697152,5.82165796,0.29487579,5.62937743,-0.03358624,EXPECTED
1058928,0.96740457,6.10544134,0.29113290,5.90643184,-0.03313850,EXPECTED
1076673,0.96823925,6.44504426,0.28817482,6.24034482,-0.03227606,EXPECTED
1084623,0.96834316,5.61344848,0.28687812,5.43574443,-0.03216875,EXPECTED
1108179,0.97186916,5.96549656,0.28313332,5.79768212,-0.02853409,EXPECTED
1111479,0.97192685,5.60910383,0.28261985,5.45163861,-0.02847474,EXPECTED
1127892,0.97342411,5.64545224,0.28010741,5.49541935,-0.02693541,EXPECTED
1149798,0.97009095,6.08781315,0.27685463,5.90573247,-0.03036544,EXPECTED
1166829,0.96743174,6.03255940,0.27440128,5.83608946,-0.03311040,EXPECTED
1184283,0.96943205,5.63534412,0.27195338,5.46308318,-0.03104490,EXPECTED
1189266,0.97507395,6.18797860,0.27126630,6.03373672,-0.02524197,EXPECTED
1211913,0.97057678,6.01475452,0.26820748,5.83778107,-0.02986477,EXPECTED
1225743,0.97201300,5.89690154,0.26638962,5.73186493,-0.02838610,EXPECTED
1237377,0.97155029,5.94219267,0.26488891,5.77313901,-0.02886225,EXPECTED
1246908,0.97113090,6.07466218,0.26367807,5.89929217,-0.02929401,EXPECTED
1274241,0.97138895,5.60509339,0.26029640,5.44472575,-0.02902833,EXPECTED
1288092,0.97648012,6.36248976,0.25863184,6.21284475,-0.02380089,EXPECTED
1305096,0.97102445,6.26409751,0.25663225,6.08259184,-0.02940363,EXPECTED
1308318,0.97596835,6.35994271,0.28473173,6.20710277,-0.02432513,EXPECTED
1322616,0.97408527,5.58058319,0.25462026,5.43596388,-0.02625643,EXPECTED
1339983,0.97052184,5.67906994,0.25267279,5.51166140,-0.02992137,EXPECTED
1359129,0.97222647,5.60824521,0.25057757,5.45248442,-0.02816651,EXPECTED
1374399,0.97552025,6.45515816,0.24894437,6.29713749,-0.02478436,EXPECTED
1396179,0.97456756,5.67863405,0.24667080,5.53421253,-0.02576143,EXPECTED
