START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
7PR48,10080,8.72175051,10080,10.80354371,-2.140542e-01,0.640343,-3.251060,EXPECTED
7PR97D2,10185,8.93920202,10185,10.89211832,-1.975931e-01,0.638493,-3.058634,EXPECTED
7PR49,10290,9.10191446,10290,10.78824254,-1.699721e-01,0.636790,-2.648170,EXPECTED
11PR9D2,10395,10.03079431,10395,11.79480837,-1.619997e-01,0.635298,-2.776672,EXPECTED
7PR50,10500,8.84222503,10500,10.77250369,-1.974584e-01,0.632078,-3.053861,EXPECTED
7PR101D2,10605,9.20028333,10605,10.85662987,-1.655417e-01,0.631126,-2.624431,EXPECTED
7PR51,10710,9.63352385,10710,11.36606472,-1.653831e-01,0.628447,-2.756861,EXPECTED
7PR103D2,10815,9.02589057,10815,10.84079754,-1.832194e-01,0.627420,-2.892651,EXPECTED
7PR52,10920,9.96866833,10920,11.57263918,-1.491966e-01,0.624681,-2.567664,EXPECTED
7PR105D2,11025,8.84136255,11025,10.73581825,-1.941447e-01,0.623565,-3.038105,EXPECTED
7PR53,11130,9.15495253,11130,10.90824712,-1.752241e-01,0.621984,-2.818874,EXPECTED
7PR107D2,11235,9.25999241,11235,10.80877891,-1.546554e-01,0.620136,-2.497495,EXPECTED
7PR54,11340,9.05201073,11340,10.71543523,-1.686983e-01,0.618160,-2.690929,EXPECTED
7PR109D2,11445,9.24848628,11445,10.79449894,-1.545768e-01,0.617255,-2.504658,EXPECTED
11PR5,11550,10.01116439,11550,11.71624837,-1.572757e-01,0.614782,-2.773477,EXPECTED
7PR111D2,11655,9.33004219,11655,10.95684219,-1.607246e-01,0.613938,-2.649779,EXPECTED
7PR56,11760,8.99090845,11760,10.68996673,-1.730917e-01,0.612066,-2.775940,EXPECTED
7PR113D2,11865,9.16845923,11865,10.76545481,-1.605731e-01,0.610579,-2.615543,EXPECTED
7PR57,11970,9.74664896,11970,11.21426901,-1.402635e-01,0.608641,-2.411307,EXPECTED
7PR115D2,12075,9.23411225,12075,11.10632392,-1.846102e-01,0.607478,-3.081942,EXPECTED
7PR58,12180,9.33304600,12180,11.00315158,-1.646203e-01,0.605911,-2.756355,EXPECTED
7PR117D2,12285,9.88400122,12285,11.48928612,-1.504975e-01,0.604233,-2.656732,EXPECTED
7PR59,12390,9.06174023,12390,10.81430791,-1.768089e-01,0.602589,-2.908396,EXPECTED
7PR119D2,12495,9.49191223,12495,11.25628611,-1.704866e-01,0.601360,-2.933973,EXPECTED
7PR60,12600,9.14266847,12600,10.64276557,-1.519281e-01,0.599774,-2.501104,EXPECTED
11PR11D2,12705,10.03585898,12705,11.65124787,-1.492487e-01,0.598795,-2.697733,EXPECTED
7PR61,12810,9.20698360,12810,10.78616826,-1.583023e-01,0.597624,-2.642438,EXPECTED
7PR123D2,12915,9.30224665,12915,10.86049309,-1.548758e-01,0.595861,-2.615117,EXPECTED
7PR62,13020,9.17227588,13020,10.93607464,-1.758815e-01,0.593966,-2.969528,EXPECTED
7PR125D2,13125,9.04476067,13125,10.61586620,-1.601640e-01,0.593281,-2.648164,EXPECTED
7PR63,13230,9.00164504,13230,10.61101977,-1.644857e-01,0.592347,-2.716946,EXPECTED
7PR127D2,13335,9.09544949,13335,10.67923547,-1.605270e-01,0.590811,-2.680698,EXPECTED
7PR64,13440,8.95742969,13440,10.60072143,-1.684387e-01,0.589023,-2.789860,EXPECTED
7PR129D2,13545,9.17295205,13545,10.81858569,-1.650064e-01,0.587681,-2.800216,EXPECTED
7PR65,13650,9.76171075,13650,11.42048361,-1.569409e-01,0.587289,-2.824458,EXPECTED
7PR131D2,13755,8.95419042,13755,10.65696933,-1.740924e-01,0.586464,-2.903467,EXPECTED
11PR6,13860,10.04207317,13860,11.59480030,-1.437732e-01,0.585172,-2.653454,EXPECTED
7PR133D2,13965,9.54643409,13965,11.11377798,-1.520179e-01,0.583737,-2.685017,EXPECTED
7PR67,14070,9.10925032,14070,10.71258650,-1.621289e-01,0.582956,-2.750355,EXPECTED
7PR135D2,14175,8.95066434,14175,10.56810197,-1.661125e-01,0.581372,-2.782104,EXPECTED
7PR68,14280,9.48213633,14280,11.17159234,-1.639645e-01,0.580824,-2.908723,EXPECTED
7PR137D2,14385,9.01450380,14385,10.62654489,-1.645203e-01,0.579431,-2.782111,EXPECTED
7PR69,14490,9.52613815,14490,10.98888679,-1.428451e-01,0.578889,-2.526821,EXPECTED
7PR139D2,14595,9.15301382,14595,10.61743525,-1.484143e-01,0.577597,-2.535369,EXPECTED
7PR70,14700,8.80893893,14700,10.54685167,-1.800604e-01,0.576568,-3.014237,EXPECTED
7PR141D2,14805,9.33906470,14805,10.74474077,-1.402103e-01,0.575149,-2.444021,EXPECTED
7PR71,14910,8.97349230,14910,10.67040307,-1.731989e-01,0.574554,-2.953440,EXPECTED
13PRD2,15015,11.10393448,15015,12.46752411,-1.158277e-01,0.572688,-2.381034,EXPECTED
11PR7,16170,9.91410157,16170,11.50456223,-1.487855e-01,0.560609,-2.837023,EXPECTED
11PR15D2,17745,10.02110411,17325,11.46801869,-1.348689e-01,0.556358,-2.600690,EXPECTED
11PR8,18480,10.12274702,18480,11.43561252,-1.219473e-01,0.549522,-2.389105,EXPECTED
11PR17D2,19635,10.61754442,19635,12.08065027,-1.290973e-01,0.544083,-2.689123,EXPECTED
11PR9,20790,10.11238931,20790,11.38104840,-1.181882e-01,0.539124,-2.353186,EXPECTED
11PR19D2,21945,10.64772937,21945,11.95202725,-1.155542e-01,0.534859,-2.438583,EXPECTED
11PR10,23205,10.44294661,23205,11.81321286,-1.232919e-01,0.532620,-2.572690,EXPECTED
11PR21D2,24570,9.81345173,24255,11.31864149,-1.426970e-01,0.530225,-2.838776,EXPECTED
11PR11,25935,10.48727753,25935,11.69360256,-1.088790e-01,0.527780,-2.285659,EXPECTED
11PR23D2,26565,10.37269228,26565,11.76668544,-1.260957e-01,0.526890,-2.645701,EXPECTED
11PR12,28665,9.97572652,27720,11.27247267,-1.222089e-01,0.525778,-2.466338,EXPECTED
11PR25D2,28875,9.82122600,28875,11.25944809,-1.366616e-01,0.524941,-2.739779,EXPECTED
13PR,30030,11.04883907,30030,12.16428223,-9.617861e-02,0.524614,-2.126217,EXPECTED
11PR27D2,31395,10.25180904,31395,11.52326055,-1.169135e-01,0.524559,-2.423848,EXPECTED
11PR14,32340,9.79955443,32340,11.22734810,-1.360157e-01,0.524825,-2.720514,EXPECTED
11PR29D2,33495,10.36070076,33495,11.59163178,-1.122636e-01,0.525446,-2.342640,EXPECTED
11PR15,34650,9.89488212,34650,11.21044599,-1.248284e-01,0.525908,-2.501510,EXPECTED
11PR31D2,35805,10.25983667,35805,11.54989937,-1.184398e-01,0.527059,-2.447663,EXPECTED
11PR16,36960,9.93792616,36960,11.19590645,-1.191899e-01,0.528267,-2.381334,EXPECTED
11PR33D2,38220,9.82288334,38115,11.18972257,-1.302810e-01,0.529755,-2.580135,EXPECTED
11PR17,39270,10.65318836,39270,11.85491119,-1.068830e-01,0.531281,-2.261935,EXPECTED
11PR35D2,41055,10.22456156,41055,11.23376831,-9.413145e-02,0.532811,-1.894118,EXPECTED
11PR18,42315,10.07272304,42315,11.32912214,-1.175455e-01,0.534061,-2.352539,EXPECTED
11PR37D2,42735,10.23823232,42735,11.45723309,-1.124923e-01,0.536451,-2.272343,EXPECTED
11PR19,43890,10.54205795,43890,11.75750348,-1.091189e-01,0.538102,-2.258764,EXPECTED
13PR3D2,45045,10.79301874,45045,12.07651952,-1.123635e-01,0.541250,-2.371364,EXPECTED
11PR20,46410,10.44794692,46410,11.63405865,-1.075314e-01,0.542689,-2.185620,EXPECTED
11PR41D2,47355,10.19344836,47355,11.41416657,-1.131101e-01,0.544777,-2.240767,EXPECTED
11PR21,48510,9.96542595,48510,11.15414714,-1.126897e-01,0.549014,-2.165193,EXPECTED
11PR43D2,49665,10.15931680,49665,11.39701216,-1.149600e-01,0.550300,-2.249128,EXPECTED
11PR22,51870,10.44464343,51870,11.54586594,-1.002382e-01,0.553029,-1.991256,EXPECTED
11PR45D2,51975,9.87945124,51975,11.14822124,-1.208230e-01,0.556147,-2.281357,EXPECTED
11PR23,53130,10.47450432,53130,11.62507288,-1.042201e-01,0.559837,-2.055185,EXPECTED
11PR47D2,54285,10.21231830,54285,11.36871454,-1.072706e-01,0.563184,-2.053319,EXPECTED
11PR24,55440,10.03748777,55965,11.21456013,-1.108861e-01,0.565105,-2.082927,EXPECTED
11PR49D2,56595,9.98406229,56595,11.14394217,-1.099060e-01,0.568859,-2.038958,EXPECTED
11PR25,58695,10.02899452,58695,11.20101076,-1.105237e-01,0.573727,-2.042812,EXPECTED
11PR51D2,58905,10.64639186,58905,11.81242211,-1.039307e-01,0.575166,-2.027293,EXPECTED
13PR2,60060,10.86335286,60060,12.05544100,-1.041211e-01,0.578569,-2.060408,EXPECTED
11PR53D2,61215,10.19966044,61215,11.33966531,-1.059524e-01,0.581070,-1.961906,EXPECTED
11PR27,62790,10.34076428,62790,11.42992514,-1.001411e-01,0.586125,-1.858240,EXPECTED
11PR55D2,64155,10.02516474,64155,11.18018339,-1.090445e-01,0.589258,-1.960124,EXPECTED
11PR28,64680,9.92014169,64680,11.14388059,-1.163233e-01,0.592694,-2.064706,EXPECTED
11PR57D2,65835,10.47241662,65835,11.73481306,-1.138151e-01,0.598955,-2.107665,EXPECTED
11PR29,66990,10.30138568,66990,11.51690294,-1.115374e-01,0.599467,-2.027663,EXPECTED
11PR59D2,68145,10.14285019,68145,11.32239964,-1.100140e-01,0.603500,-1.954514,EXPECTED
11PR30,69615,10.55162139,69615,11.62191242,-9.661278e-02,0.609336,-1.756487,EXPECTED
11PR61D2,70455,10.08871931,70455,11.31867971,-1.150365e-01,0.613751,-2.004006,EXPECTED
11PR31,71610,10.33695762,71610,11.49570201,-1.062476e-01,0.618562,-1.873287,EXPECTED
11PR63D2,73185,9.94320474,72765,11.15146247,-1.146813e-01,0.619579,-1.950127,EXPECTED
11PR32,73920,9.93344679,73920,11.15291464,-1.157933e-01,0.560878,-2.174212,EXPECTED
13PR5D2,75075,10.74536305,75075,12.06603734,-1.159204e-01,0.555929,-2.375617,EXPECTED
