n,ratio,c_pred,baseline,c_meas,lambda,status
78967194,1.00368344,5.53338636,-0.03681038,5.55376826,0.00367667,EXPECTED
79359108,1.00344728,5.86362469,-0.03668413,5.88383823,0.00344135,EXPECTED
79495749,1.00364210,5.77323825,-0.03664038,5.79426497,0.00363549,EXPECTED
79678647,1.00346015,6.05639917,-0.03658203,6.07735523,0.00345418,EXPECTED
80099988,1.00344852,5.81999688,-0.03644855,5.84006728,0.00344259,EXPECTED
80368779,1.00349944,5.45772248,-0.03636407,5.47682144,0.00349333,EXPECTED
80552376,1.00352228,5.45402710,-0.03630666,5.47323769,0.00351609,EXPECTED
80716134,1.00352095,5.45404661,-0.03625565,5.47325005,0.00351477,EXPECTED
81166737,1.00357988,5.65745973,-0.03611627,5.67771275,0.00357349,EXPECTED
81215868,1.00361859,5.82014830,-0.03610116,5.84120904,0.00361206,EXPECTED
81453531,1.00333819,5.45415320,-0.03602829,5.47236022,0.00333263,EXPECTED
81704883,1.00344919,6.39838726,-0.03921998,6.42045648,0.00344325,EXPECTED
82090011,1.00364925,5.45424346,-0.03583505,5.47414734,0.00364261,EXPECTED
82383156,1.00292043,5.82067775,-0.03574696,5.83767663,0.00291617,EXPECTED
82450899,1.00332621,5.77727211,-0.03572669,5.79648851,0.00332069,EXPECTED
82801791,1.00338065,5.77731696,-0.03562216,5.79684803,0.00337494,EXPECTED
83074038,1.00315947,5.69632551,-0.03554161,5.71432291,0.00315449,EXPECTED
83392191,1.00297394,5.98813264,-0.03544810,6.00594095,0.00296952,EXPECTED
83613786,1.00341020,6.33168445,-0.03538334,6.35327677,0.00340440,EXPECTED
83891334,1.00321963,5.57650288,-0.03530268,5.59445714,0.00321446,EXPECTED
84190557,1.00334360,6.35110697,-0.03912919,6.37234253,0.00333802,EXPECTED
84240528,1.00329238,5.77752317,-0.03520189,5.79654499,0.00328698,EXPECTED
84522276,1.00365295,5.45457360,-0.03512112,5.47449889,0.00364630,EXPECTED
84770568,1.00345891,5.82066488,-0.03505035,5.84079802,0.00345294,EXPECTED
85152906,1.00351687,5.45465344,-0.03494210,5.47383674,0.00351070,EXPECTED
85260429,1.00340780,5.77759395,-0.03491182,5.79728284,0.00340201,EXPECTED
85736373,1.00337077,5.45472604,-0.03477862,5.47311268,0.00336510,EXPECTED
86009583,1.00336292,6.08856106,-0.03855862,6.10903639,0.00335728,EXPECTED
86263458,1.00368338,6.07923130,-0.03463267,6.10162339,0.00367661,EXPECTED
86523999,1.00327722,6.10102216,-0.03456112,6.12101656,0.00327186,EXPECTED
86726226,1.00326579,5.45484789,-0.03450586,5.47266225,0.00326046,EXPECTED
86830647,1.00360066,5.46012578,-0.03447742,5.47978584,0.00359419,EXPECTED
87141201,1.00361566,7.69136692,-0.04127184,7.71917626,0.00360914,EXPECTED
87475506,1.00316919,6.16544682,-0.03430315,6.18498627,0.00316417,EXPECTED
87555372,1.00351152,5.89432804,-0.03428173,5.91502609,0.00350537,EXPECTED
87944916,1.00339713,5.71639935,-0.03417776,5.73581868,0.00339137,EXPECTED
88228929,1.00316996,5.84276510,-0.03410249,5.86128641,0.00316494,EXPECTED
88416726,1.00343057,5.53462581,-0.03405296,5.55361275,0.00342470,EXPECTED
88583751,1.00320845,5.50458068,-0.03400907,5.52224184,0.00320331,EXPECTED
88855101,1.00329546,5.75591227,-0.03393808,5.77488064,0.00329004,EXPECTED
89148342,1.00305374,5.77801923,-0.03386182,5.79566383,0.00304909,EXPECTED
