n,ratio,c_pred,baseline,c_meas,lambda,status
1041003,1.01906733,5.82837184,-0.19011660,5.93950334,0.01888783,EXPECTED
1063401,1.01738539,5.97814516,-0.18797604,6.08207755,0.01723599,EXPECTED
1070628,1.01949637,5.88598349,-0.18730279,6.00073878,0.01930875,EXPECTED
1082406,1.01714532,5.88634201,-0.18622310,5.98726523,0.01700000,EXPECTED
1097928,1.01852891,6.60012476,-0.18483250,6.72241785,0.01835934,EXPECTED
1113858,1.01885950,5.38228631,-0.18344208,5.48379352,0.01868386,EXPECTED
1126974,1.01667741,5.72793547,-0.18232409,5.82346259,0.01653987,EXPECTED
1149174,1.01692650,5.89385903,-0.18048510,5.99362142,0.01678484,EXPECTED
1168869,1.01655857,6.62398421,-0.17890707,6.73366793,0.01642297,EXPECTED
1179441,1.01585823,5.38645693,-0.17807989,5.47187660,0.01573380,EXPECTED
1193751,1.01665459,6.28606212,-0.17698158,6.39075390,0.01651742,EXPECTED
1204647,1.01486874,5.41137008,-0.17616133,5.49183033,0.01475928,EXPECTED
1217613,1.01434163,5.38824718,-0.17520286,5.46552345,0.01423976,EXPECTED
1238667,1.01612862,5.92843106,-0.17368558,6.02404848,0.01599994,EXPECTED
1249833,1.01585119,5.99521820,-0.17289995,6.09024953,0.01572687,EXPECTED
1274004,1.01761234,5.53378270,-0.17124265,5.63124557,0.01745904,EXPECTED
1280553,1.01557954,5.76198691,-0.17080351,5.85175599,0.01545942,EXPECTED
1291443,1.01532233,5.47132847,-0.17008240,5.55516198,0.01520613,EXPECTED
1310088,1.01535969,6.68373022,-0.16887340,6.78639025,0.01524293,EXPECTED
1323699,1.01516599,5.89932720,-0.16801059,5.98879636,0.01505214,EXPECTED
1347996,1.01481068,5.90090434,-0.16651041,5.98830075,0.01470207,EXPECTED
1354131,1.01434761,5.39502281,-0.16613949,5.47242850,0.01424566,EXPECTED
1375713,1.01537780,5.39588042,-0.16485886,5.47885721,0.01526076,EXPECTED
1395771,1.01267695,5.90437444,-0.16370152,5.97922393,0.01259727,EXPECTED
1400178,1.01297308,6.13719958,-0.16345131,6.21681794,0.01288965,EXPECTED
